candidate_id,cif_path,formation_energy,target_label,fail_low,fail_high,formula,reduced_formula,m_element,space_group_number,space_group_symbol,min_interatomic_distance,volume_per_atom,min_li_o_neighbors,min_m_o_neighbors
job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_001_Ti_fe_-1.307_n4_generated_crystals_cif__gen_0.cif,-3.1877970695495605,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,12,C2/m,1.943563,10.841303,6,6
job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_023_Co_fe_-0.919_n4_generated_crystals_cif__gen_3.cif,-1.4480853080749512,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.915855,9.87273,6,6
job_161_Co_fe_-0.850_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_161_Co_fe_-0.850_n4_generated_crystals_cif__gen_1.cif,-1.4739354848861694,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.910915,9.936862,6,6
job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_3.cif,-1.0503320693969729,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,2,P-1,1.858373,9.720121,6,6
job_084_Ni_fe_-1.459_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_084_Ni_fe_-1.459_n4_generated_crystals_cif__gen_3.cif,-1.0500950813293457,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.858312,9.677849,6,6
job_132_Ni_fe_-0.895_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_132_Ni_fe_-0.895_n4_generated_crystals_cif__gen_0.cif,-1.0583908557891846,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,10,P2/m,1.877203,9.940673,6,6
job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_087_Cr_fe_-1.452_n4_generated_crystals_cif__gen_0.cif,-2.190068006515503,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,10,P2/m,1.931781,10.641628,6,6
job_107_Co_fe_-1.032_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_107_Co_fe_-1.032_n4_generated_crystals_cif__gen_2.cif,-1.5088258981704712,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,6,Pm,1.88742,9.734698,6,6
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0.cif,-2.177961587905884,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,6,Pm,1.931478,10.443846,6,6
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_3.cif,-2.212435007095337,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,6,Pm,1.942278,10.792846,6,6
job_119_Ti_fe_-1.262_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_119_Ti_fe_-1.262_n4_generated_crystals_cif__gen_0.cif,-3.1663100719451904,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,10,P2/m,1.992879,10.93589,6,6
job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_105_Mn_fe_-0.898_n4_generated_crystals_cif__gen_1.cif,-1.9795161485672,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,8,Cm,1.918506,10.598329,6,6
job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_224_Mn_fe_-1.419_n4_generated_crystals_cif__gen_2.cif,-1.9380772113800049,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.881909,10.157541,6,5
job_116_Ti_fe_-1.462_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_116_Ti_fe_-1.462_n4_generated_crystals_cif__gen_1.cif,-3.106773614883423,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,12,C2/m,1.991657,11.002305,4,6
job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_124_Ni_fe_-0.888_n4_generated_crystals_cif__gen_1.cif,-1.038147211074829,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,12,C2/m,1.899029,10.049578,6,6
job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_032_Co_fe_-1.386_n4_generated_crystals_cif__gen_1.cif,-1.4119749069213867,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.91651,9.646444,6,6
job_098_Mg_fe_-1.184_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_098_Mg_fe_-1.184_n4_generated_crystals_cif__gen_1.cif,-2.2197582721710205,0,1,0,Li1 Mg2 O4,LiMg2O4,Mg,1,P1,2.016368,10.980658,6,6
job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_2.cif,-1.476088285446167,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,6,Pm,1.91051,9.980405,6,6
job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_083_Cr_fe_-0.935_n4_generated_crystals_cif__gen_1.cif,-2.173450231552124,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,160,R3m,1.926055,10.460394,6,6
job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_182_Cr_fe_-1.464_n4_generated_crystals_cif__gen_2.cif,-2.143676280975342,1,0,0,Li1 Cr2 O4,LiCr2O4,Cr,156,P3m1,1.877889,10.930685,4,6
job_018_Co_fe_-0.907_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_018_Co_fe_-0.907_n4_generated_crystals_cif__gen_3.cif,-1.4167397022247314,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,164,P-3m1,1.899119,9.913308,6,6
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_3.cif,-1.9542670249938965,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,6,Pm,1.88841,10.752778,4,6
job_157_Ni_fe_-1.031_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_157_Ni_fe_-1.031_n4_generated_crystals_cif__gen_0.cif,-0.9739506840705872,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,1,P1,1.865696,9.480073,6,6
job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_043_Mn_fe_-1.340_n4_generated_crystals_cif__gen_3.cif,-2.0343403816223145,1,0,0,Li1 Mn2 O4,LiMn2O4,Mn,6,Pm,1.931046,10.918713,6,6
job_212_Cr_fe_-1.473_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_212_Cr_fe_-1.473_n4_generated_crystals_cif__gen_3.cif,-2.209064722061157,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,8,Cm,1.976337,10.529904,6,6
job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_051_Co_fe_-1.402_n4_generated_crystals_cif__gen_1.cif,-1.4988126754760742,0,0,1,Li1 Co2 O4,Li(CoO2)2,Co,8,Cm,1.906483,9.899152,6,6
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_3.cif,-2.1943607330322266,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,8,Cm,1.80045,10.115854,6,6
job_190_Mn_fe_-0.838_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_190_Mn_fe_-0.838_n4_generated_crystals_cif__gen_1.cif,-2.0107338428497314,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,1,P1,1.916681,10.71964,6,6
job_027_Ti_fe_-1.340_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_027_Ti_fe_-1.340_n4_generated_crystals_cif__gen_0.cif,-3.213128566741944,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,1,P1,1.949702,10.21592,5,6
job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_125_Mn_fe_-1.190_n4_generated_crystals_cif__gen_3.cif,-2.035506010055542,1,0,0,Li1 Mn2 O4,LiMn2O4,Mn,10,P2/m,1.933687,10.890595,6,6
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_0.cif,-2.3071906566619877,0,1,0,Li1 Mg2 O4,LiMg2O4,Mg,47,Pmmm,2.096453,10.627643,6,6
job_031_Al_fe_-1.055_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_031_Al_fe_-1.055_n4_generated_crystals_cif__gen_0.cif,-3.0106351375579834,0,1,0,Li1 Al2 O4,LiAl2O4,Al,8,Cm,1.798222,11.172699,4,5
job_243_Al_fe_-1.012_n4_generated_crystals_cif__gen_2,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_243_Al_fe_-1.012_n4_generated_crystals_cif__gen_2.cif,-3.132365226745605,0,1,0,Li1 Al2 O4,LiAl2O4,Al,12,C2/m,1.912959,9.907499,6,6
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0.cif,-2.0187184810638428,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,2,P-1,1.915332,10.706988,6,6
job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_086_Mn_fe_-0.988_n4_generated_crystals_cif__gen_1.cif,-2.012666940689087,0,0,1,Li1 Mn2 O4,LiMn2O4,Mn,6,Pm,1.928333,10.606597,6,6
job_103_Ti_fe_-1.058_n4_generated_crystals_cif__gen_3,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_103_Ti_fe_-1.058_n4_generated_crystals_cif__gen_3.cif,-3.122195243835449,0,1,0,Li1 Ti2 O4,LiTi2O4,Ti,1,P1,1.89413,10.382627,4,6
job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_002_Ni_fe_-1.402_n4_generated_crystals_cif__gen_0.cif,-1.0407291650772097,0,0,1,Li1 Ni2 O4,Li(NiO2)2,Ni,2,P-1,1.895213,9.88503,6,6
job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1,D:\CGCNN\EARLY_LiM2O4_ALIGNN_HARD640_m2p18_m2p02_20260617\cifs\job_201_Cr_fe_-1.216_n4_generated_crystals_cif__gen_1.cif,-2.21074652671814,0,1,0,Li1 Cr2 O4,LiCr2O4,Cr,10,P2/m,1.945326,10.53169,6,6
